Alpha,T1_Re4.678_M0.18_N9.0, , 
           -5,   -0.07602976, , 
         -4.5,   -0.02339811, , 
           -4,    0.03011025, , 
         -3.5,    0.08349506, , 
           -3,     0.1361221, , 
         -2.5,     0.1901643, , 
           -2,     0.2429604, , 
         -1.5,     0.2968387, , 
           -1,     0.3500043, , 
         -0.5,     0.4042269, , 
            0,     0.4567163, , 
          0.5,     0.5105443, , 
            1,     0.5629185, , 
          1.5,     0.6163373, , 
            2,     0.6656699, , 
          2.5,     0.7148591, , 
            3,     0.7624788, , 
          3.5,     0.8104813, , 
            4,     0.8544741, , 
          4.5,     0.9085447, , 
            5,      1.030112, , 
          5.5,      1.095126, , 
            6,      1.162938, , 
          6.5,      1.209372, , 
            7,      1.233879, , 
          7.5,      1.258429, , 
            8,      1.292361, , 
          8.5,      1.328159, , 
            9,      1.365806, , 
          9.5,      1.400883, , 
           10,      1.440026, , 
         10.5,      1.471265, , 
           11,      1.499312, , 
         11.5,      1.524336, , 
           12,      1.550191, , 
         12.5,      1.575617, , 
           13,      1.602021, , 
         13.5,      1.622184, , 
           14,      1.646339, , 
         14.5,      1.670847, , 
           15,      1.690119, , 
         15.5,      1.701618, , 
           16,      1.707584, , 
         16.5,      1.713268, , 
           17,      1.723202, , 
         17.5,      1.731448, , 
           18,      1.735431, , 
         18.5,      1.734361, , 
           19,      1.730956, , 
         19.5,      1.729138, , 
           20,      1.725003, , 
         20.5,      1.724077, , 
           21,      1.710391, , 
         21.5,      1.692136, , 
           22,       1.67504, , 

