Alpha,T1_Re4.678_M0.18_N9.0, , 
           -5,     -0.104796, , 
         -4.5,    -0.1035048, , 
           -4,    -0.1024181, , 
         -3.5,    -0.1013266, , 
           -3,    -0.1001041, , 
         -2.5,   -0.09918759, , 
           -2,   -0.09803606, , 
         -1.5,   -0.09713141, , 
           -1,   -0.09607913, , 
         -0.5,   -0.09526018, , 
            0,    -0.0941176, , 
          0.5,   -0.09325838, , 
            1,   -0.09211994, , 
          1.5,    -0.0912052, , 
            2,   -0.08950611, , 
          2.5,   -0.08779853, , 
            3,    -0.0857657, , 
          3.5,    -0.0837544, , 
            4,   -0.08090327, , 
          4.5,   -0.08024292, , 
            5,   -0.09490986, , 
          5.5,   -0.09683399, , 
            6,   -0.09970299, , 
          6.5,   -0.09775214, , 
            7,    -0.0909115, , 
          7.5,    -0.0841892, , 
            8,   -0.07952341, , 
          8.5,   -0.07536777, , 
            9,   -0.07170005, , 
          9.5,   -0.06773429, , 
           10,   -0.06461481, , 
         10.5,    -0.0603702, , 
           11,   -0.05587775, , 
         11.5,    -0.0512397, , 
           12,   -0.04706467, , 
         12.5,   -0.04314997, , 
           13,   -0.03967783, , 
         13.5,   -0.03589392, , 
           14,   -0.03290132, , 
         14.5,   -0.03027769, , 
           15,   -0.02751882, , 
         15.5,   -0.02464282, , 
           16,   -0.02200118, , 
         16.5,   -0.01987827, , 
           17,     -0.018415, , 
         17.5,   -0.01720053, , 
           18,   -0.01611121, , 
         18.5,   -0.01547081, , 
           19,   -0.01526706, , 
         19.5,   -0.01545367, , 
           20,   -0.01592628, , 
         20.5,   -0.01643535, , 
           21,   -0.01767219, , 
         21.5,   -0.01927723, , 
           22,   -0.02142396, , 

