;concept_1;concept_2;concept_3;concept_4;concept_5
A;8;8;8;8;8
BHP_TO;62.0;62.0;62.0;62.0;62.0
BHP_cruise;49.391;49.391;49.391;49.391;49.391
CD0;0.027;0.027;0.027;0.027;0.027
CL_LDG;[1.57024793];[1.57024793];[1.57024793];[1.57024793];[1.57024793]
CL_TO;[1.07438017];[1.07438017];[1.07438017];[1.07438017];[1.07438017]
CL_max_TO;[1.3];[1.3];[1.3];[1.3];[1.3]
CL_max_clean;[1.3];[1.3];[1.3];[1.3];[1.3]
CL_max_land;[1.9];[1.9];[1.9];[1.9];[1.9]
CLa;4.2;4.2;4.2;4.2;4.2
LDG_dist;750;750;750;750;750
L_D;12.763;12.763;12.763;12.763;12.763
Lambda;-0.006;-0.006;-0.006;-0.006;-0.006
MAC_length;1.278;1.288;1.298;1.298;1.288
MGC;[1.36127292];[1.37182259];[1.38226666];[1.38226666];[1.37182259]
M_res;0.1;0.1;0.1;0.1;0.1
Mff;0.922;0.922;0.92;0.92;0.922
N_e;1;1;1;1;1
P_TO;62;62;62;62;62
P_values;[97.79373865];[99.31538584];[109.60149402];[109.60149402];[99.31538584]
R;500000;500000;500000;500000;500000
R_gas;287.05;287.05;287.05;287.05;287.05
S_G;33.082;38.43;38.43;38.43;38.43
Sw;[14.82451179];[15.05517765];[15.28528891];[15.28528891];[15.05517765]
T0;288.15;288.15;288.15;288.15;288.15
TOP_req;250;250;250;250;250
V_B;42.225;42.225;42.225;42.225;42.225
V_D;84.134;84.134;84.134;84.134;84.134
V_climb;36.011;36.011;36.011;36.011;36.011
V_cruise;60.096;60.096;60.096;60.096;60.096
V_s_min;25.722;25.722;25.722;25.722;25.722
W10W9;0.993;0.993;0.993;0.993;0.993
W1W_TO;0.995;0.995;0.995;0.995;0.995
W2W1;0.997;0.997;0.997;0.997;0.997
W3W2;0.998;0.998;0.998;0.998;0.998
W4W3;0.992;0.992;0.992;0.992;0.992
WS;600;600;600;600;600
